Death Rate Report for United States by County

"Lung & Bronchus, 2011-2015"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 45.5?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"United States",00000,Yes,43.4 ,43.3, 43.5,155959,falling,-3.1 ,-3.6, -2.6
"Union County, Florida",12125,No,130.6 ,105.6, 159.9,22,stable,-1.0 ,-2.6, 0.7
"North Slope Borough, Alaska",02185,No,125.5 ,75.5, 191.9,5,*,*,*,*
"McCreary County, Kentucky",21147,No,116.2 ,95.6, 140.1,24,stable,-6.0 ,-22.9, 14.5
"Leslie County, Kentucky",21131,No,115.7 ,91.7, 144.5,17,stable,1.1 ,-0.2, 2.5
"Owsley County, Kentucky",21189,No,114.1 ,78.8, 161.4,7,stable,1.8 ,-0.4, 4.1
"Powell County, Kentucky",21197,No,112.3 ,88.6, 140.6,16,stable,0.9 ,-0.8, 2.6
"Gallatin County, Kentucky",21077,No,103.4 ,74.2, 140.3,9,stable,-0.7 ,-2.7, 1.4
"Menifee County, Kentucky",21165,No,101.7 ,73.1, 138.9,9,stable,1.7 ,-0.7, 4.0
"Harlan County, Kentucky",21095,No,101.7 ,87.1, 118.1,36,stable,0.5 ,-0.6, 1.6
"Knott County, Kentucky",21119,No,99.9 ,81.1, 122.1,21,stable,-0.3 ,-1.6, 1.0
"Nicholas County, Kentucky",21181,No,98.6 ,72.1, 132.5,9,stable,0.4 ,-1.3, 2.2
"Clay County, Kentucky",21051,No,97.9 ,80.7, 117.8,24,stable,1.2 ,-0.1, 2.5
"Breathitt County, Kentucky",21025,No,97.3 ,76.8, 121.9,17,stable,-0.6 ,-2.6, 1.5
"Meagher County, Montana",30059,No,97.1 ,56, 167.9,3,*,*,*,*
"Dunklin County, Missouri",29069,No,96.2 ,83.2, 110.8,40,stable,0.4 ,-0.8, 1.6
"Martin County, Kentucky",21159,No,95.6 ,73.7, 122.2,14,stable,0.6 ,-1.3, 2.5
"Perry County, Kentucky",21193,No,95.6 ,81.4, 111.7,34,stable,-15.8 ,-34.0, 7.5
"Trimble County, Kentucky",21223,No,93.6 ,68.4, 125.5,10,stable,0.8 ,-1.1, 2.6
"Casey County, Kentucky",21045,No,93 ,75.5, 113.7,20,stable,-2.7 ,-7.5, 2.5
"Poinsett County, Arkansas",05111,No,92.7 ,78.3, 109.3,30,stable,-0.4 ,-1.4, 0.7
"Ohio County, Kentucky",21183,No,92.6 ,77.8, 109.5,28,stable,0.2 ,-0.9, 1.4
"Whitley County, Kentucky",21235,No,92.2 ,79.4, 106.5,39,stable,-0.2 ,-1.4, 1.0
"Estill County, Kentucky",21065,No,91.9 ,73.3, 114.1,18,stable,1.2 ,-0.7, 3.0
"Pulaski County, Illinois",17153,No,91.4 ,65.2, 126.3,8,stable,0.8 ,-0.8, 2.5
"Bracken County, Kentucky",21023,No,90.8 ,66.1, 122.1,9,stable,-0.1 ,-1.7, 1.5
"Claiborne County, Tennessee",47025,No,90.5 ,78.1, 104.6,39,stable,0.4 ,-0.7, 1.5
"Bath County, Kentucky",21011,No,90.3 ,69.9, 115.1,14,stable,1.0 ,-0.7, 2.8
"Benton County, Tennessee",47005,No,89.6 ,73.7, 108.5,23,stable,0.8 ,-0.6, 2.2
"Clinton County, Kentucky",21053,No,88.8 ,68, 114.7,13,stable,1.3 ,-0.7, 3.3
"Rockcastle County, Kentucky",21203,No,88.8 ,71.7, 109.2,19,stable,0.6 ,-0.6, 1.9
"Mason County, Kentucky",21161,No,88.4 ,71.5, 108.3,20,stable,0.8 ,-0.6, 2.2
"Floyd County, Kentucky",21071,No,88.4 ,76.6, 101.5,43,stable,-12.5 ,-23.7, 0.3
"Polk County, Tennessee",47139,No,87.9 ,71.7, 107.1,21,stable,-0.0 ,-1.6, 1.5
"Caldwell County, Kentucky",21033,No,87.9 ,69.5, 110.3,16,stable,0.4 ,-1.0, 1.8
"Hancock County, Tennessee",47067,No,87 ,62.6, 119.2,9,stable,-0.4 ,-2.2, 1.5
"Knox County, Kentucky",21121,No,86.6 ,74, 100.8,35,stable,0.2 ,-1.0, 1.4
"Grayson County, Kentucky",21085,No,86.6 ,72.8, 102.5,29,stable,0.3 ,-0.7, 1.4
"Cheatham County, Tennessee",47021,No,86.5 ,73.9, 100.8,36,stable,-0.5 ,-1.7, 0.7
"Union County, Tennessee",47173,No,86.5 ,70.1, 105.7,21,stable,-0.1 ,-1.4, 1.2
"Crittenden County, Kentucky",21055,No,86.4 ,64.6, 113.9,11,stable,-0.5 ,-2.3, 1.4
"Kearny County, Kansas",20093,No,86.2 ,51.6, 135.8,4,*,*,*,*
"Jackson County, Kentucky",21109,No,85.8 ,66.3, 109.6,14,stable,0.4 ,-1.5, 2.3
"Lee County, Kentucky",21129,No,85.8 ,60, 119.5,8,stable,-0.6 ,-2.6, 1.4
"Martinsville City, Virginia",51690,No,85.8 ,68.5, 106.7,18,rising,1.7 ,0.2, 3.3
"Breckinridge County, Kentucky",21027,No,85.3 ,70.2, 103.1,23,stable,0.7 ,-0.4, 1.8
"Hart County, Kentucky",21099,No,85.1 ,69.2, 103.8,21,stable,0.0 ,-1.2, 1.3
"Sequatchie County, Tennessee",47153,No,85 ,67.5, 106.2,17,rising,2.0 ,0.6, 3.4
"Pemiscot County, Missouri",29155,No,84.7 ,68.1, 104.4,18,stable,-0.1 ,-1.5, 1.3
"Jackson County, Arkansas",05067,No,84.5 ,68.4, 103.5,20,rising,1.4 ,0.2, 2.5
"Logan County, West Virginia",54045,No,84.3 ,72.7, 97.3,40,falling,-1.4 ,-2.4, -0.4
"Nome Census Area, Alaska",02180,No,84.2 ,52.7, 126,5,*,*,*,*
"Perry County, Tennessee",47135,No,83.9 ,62.3, 111.9,10,stable,-0.4 ,-1.9, 1.2
"Upton County, Texas",48461,No,83.8 ,47.8, 137.2,3,*,*,*,*
"Houston County, Tennessee",47083,No,83.7 ,61.7, 112,10,stable,1.0 ,-0.7, 2.8
"Pike County, Kentucky",21195,No,83.7 ,74.8, 93.5,67,stable,-0.4 ,-1.0, 0.3
"Clay County, Arkansas",05021,No,83.2 ,67.7, 101.9,20,stable,-0.0 ,-1.3, 1.3
"McDonald County, Missouri",29119,No,83.2 ,67.6, 101.5,21,stable,0.4 ,-0.9, 1.6
"Scott County, Tennessee",47151,No,83.2 ,68.3, 100.6,23,stable,-0.3 ,-1.4, 0.7
"Russell County, Kentucky",21207,No,83.1 ,67.6, 101.5,21,stable,0.8 ,-0.8, 2.4
"Bristol City, Virginia",51520,No,82.8 ,67.4, 101,21,stable,-0.0 ,-1.1, 1.1
"Cocke County, Tennessee",47029,No,82.6 ,71.5, 95.2,42,stable,0.3 ,-0.5, 1.1
"Pleasants County, West Virginia",54073,No,82.4 ,59, 113,8,stable,-1.0 ,-3.2, 1.3
"Lawrence County, Arkansas",05075,No,82.2 ,66.7, 100.7,20,stable,-0.6 ,-1.9, 0.7
"Lewis County, Kentucky",21135,No,82.1 ,64.2, 103.9,15,stable,0.5 ,-1.3, 2.4
"Carlisle County, Kentucky",21039,No,82 ,56, 118,6,stable,1.5 ,-0.8, 3.9
"McDowell County, West Virginia",54047,No,82 ,67.6, 98.7,24,stable,0.1 ,-1.0, 1.1
"Garrard County, Kentucky",21079,No,81.9 ,65.5, 101.6,18,rising,2.4 ,0.6, 4.2
"Letcher County, Kentucky",21133,No,81.7 ,67.9, 97.8,26,stable,-0.8 ,-2.0, 0.4
"Boone County, West Virginia",54005,No,81.7 ,67.7, 97.9,25,stable,-0.3 ,-1.5, 0.9
"Johnson County, Kentucky",21115,No,81.5 ,67.3, 98,24,stable,-0.3 ,-1.4, 0.7
"Butler County, Missouri",29023,No,81.1 ,71.2, 92.3,49,stable,-0.1 ,-1.2, 0.9
"Overton County, Tennessee",47133,No,81 ,67.4, 97,26,stable,0.1 ,-0.9, 1.2
"Lawrence County, Kentucky",21127,No,81 ,63.9, 101.6,16,stable,-0.2 ,-1.6, 1.1
"Metcalfe County, Kentucky",21169,No,80.9 ,60.7, 106.4,11,stable,0.3 ,-1.7, 2.2
"Washington County, Missouri",29221,No,80.8 ,66.9, 96.9,25,stable,0.4 ,-1.4, 2.2
"Cross County, Arkansas",05037,No,80.6 ,64.9, 99.3,19,stable,0.5 ,-0.7, 1.6
"Wayne County, Missouri",29223,No,80.6 ,64.2, 100.8,18,stable,0.2 ,-1.1, 1.4
"Mississippi County, Missouri",29133,No,80.4 ,62.9, 101.7,15,stable,-0.3 ,-1.8, 1.3
"Grant County, Kentucky",21081,No,80.4 ,64.8, 98.6,20,stable,-1.0 ,-2.4, 0.5
"Ralls County, Missouri",29173,No,80.3 ,60.4, 105.3,12,stable,1.0 ,-1.0, 3.1
"Dade County, Georgia",13083,No,80.2 ,63.8, 99.9,17,stable,-0.4 ,-2.2, 1.3
"Henry County, Missouri",29083,No,80.2 ,66.9, 95.7,27,stable,1.0 ,-0.1, 2.1
"Pickett County, Tennessee",47137,No,80.1 ,54.9, 115.8,7,stable,1.3 ,-1.3, 4.0
"Wayne County, Kentucky",21231,No,80.1 ,65.7, 97.1,23,stable,-0.6 ,-1.8, 0.5
"Union County, Kentucky",21225,No,80 ,62, 101.9,14,stable,0.6 ,-1.1, 2.3
"Starke County, Indiana",18149,No,80 ,66.4, 95.8,25,stable,0.4 ,-0.6, 1.4
