Incidence Rate Report for United States by County

"Bladder, 2011-2015"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,20.3 ,20.3, 20.4,72640,falling,-1.7 ,-2.7, -0.7
"Carter County, Kentucky(7,8)",21043,***,44.3 ,34.4, 56.4,14,rising,4.8 ,0.2, 9.6
"Putnam County, Illinois(6,10)",17155,***,43.9 ,25.5, 72.2,4,stable,-25.2 ,-50.5, 13.0
"Clay County, South Dakota(6,10)",46027,***,40.7 ,25.9, 61.1,5,stable,-7.2 ,-35.9, 34.4
"Union County, Florida(6,10)",12125,***,40.6 ,27.3, 58.2,7,falling,-25.0 ,-42.7, -1.9
"Ketchikan Gateway Borough, Alaska(6,10)",02130,***,40.2 ,25.4, 60.2,5,stable,10.6 ,-12.4, 39.7
"Butler County, Nebraska(6,10)",31023,***,38.1 ,23.9, 58.8,5,stable,-8.9 ,-39.2, 36.5
"Vilas County, Wisconsin(6,10)",55125,***,37.9 ,29.3, 49,15,stable,-6.4 ,-27.6, 20.9
"Greene County, New York(6,10)",36039,***,37.1 ,30.9, 44.4,26,stable,-9.9 ,-30.9, 17.5
"Modoc County, California(7,8)",06049,***,36.9 ,23.6, 56.2,5,stable,4.5 ,-2.9, 12.5
"Furnas County, Nebraska(6,10)",31065,***,36.3 ,20.5, 63.2,3,*,*,*,*
"Fulton County, New York(6,10)",36035,***,36.2 ,30.2, 43.2,26,stable,-3.5 ,-15.4, 10.0
"Tucker County, West Virginia(6,10)",54093,***,35.8 ,21.4, 58.3,4,stable,-15.0 ,-59.4, 77.8
"Montgomery County, New York(6,10)",36057,***,35.8 ,29.6, 43.1,24,stable,-16.6 ,-36.5, 9.5
"Catahoula Parish, Louisiana(7,8)",22025,***,35.4 ,22.1, 54.2,5,rising,11.7 ,4.8, 19.0
"Cape May County, New Jersey(7,8)",34009,***,35 ,30.9, 39.5,58,rising,1.3 ,0.5, 2.0
"Trigg County, Kentucky(7,8)",21221,***,34.8 ,24.3, 48.9,8,rising,4.8 ,0.7, 9.1
"Hancock County, Maine(6,10)",23009,***,34.5 ,29.1, 40.8,30,stable,-1.9 ,-35.4, 49.0
"Montmorency County, Michigan(6,10)",26119,***,34.1 #  ,23.9, 50.3,7,stable,4.7 ,-46.8, 105.9
"Logan County, Ohio(6,10)",39091,***,33.9 ,27.4, 41.6,19,stable,3.7 ,-10.9, 20.5
"Clay County, Illinois(6,10)",17025,***,33.7 ,23.4, 47.7,7,stable,-18.0 ,-35.8, 4.8
"Grand County, Colorado(6,10)",08049,***,33.5 ,20.1, 52.2,5,stable,14.2 ,-24.0, 71.4
"Niagara County, New York(6,10)",36063,***,33.3 ,30.3, 36.5,96,stable,-3.3 ,-13.1, 7.6
"Essex County, Vermont(6,10)",50009,***,33.2 ,19.5, 56,4,stable,-1.0 ,-35.6, 52.2
"Assumption Parish, Louisiana(7,8)",22007,***,33.1 ,24, 44.7,9,rising,19.5 ,3.0, 38.7
"Lewis County, Tennessee(6,10)",47101,***,33.1 ,21.6, 49.3,5,stable,-5.8 ,-32.5, 31.4
"Moffat County, Colorado(6,10)",08081,***,33.1 ,20.4, 50.8,4,*,*,*,*
"Schuyler County, Illinois(6,10)",17169,***,33.1 ,19.5, 54.1,4,stable,-8.8 ,-47.9, 59.5
"Lincoln County, Nebraska(6,10)",31111,***,33 ,25.8, 41.7,15,stable,-2.4 ,-20.2, 19.5
"Cleburne County, Alabama(6,10)",01029,***,33 ,22.7, 46.8,7,stable,-20.1 ,-39.4, 5.2
"Powell County, Kentucky(7,8)",21197,***,32.9 ,20.8, 49.9,5,stable,1.6 ,-3.5, 6.9
"St. Lawrence County, New York(6,10)",36089,***,32.8 ,28.5, 37.5,44,stable,5.9 ,-0.9, 13.0
"McLean County, North Dakota(6,10)",38055,***,32.6 ,20.6, 50.4,5,stable,-18.6 ,-56.1, 51.0
"Bond County, Illinois(6,10)",17005,***,32.5 ,22.8, 45.4,7,stable,17.1 ,-20.4, 72.3
"Henry County, Kentucky(7,8)",21103,***,32.5 ,21.7, 47.1,6,stable,1.2 ,-3.4, 6.0
"Clay County, Kentucky(7,8)",21051,***,32.5 ,22.7, 45,8,rising,6.6 ,1.2, 12.3
"Saratoga County, New York(6,10)",36091,***,32.3 ,29.3, 35.6,87,stable,2.9 ,-10.7, 18.6
"Chautauqua County, New York(6,10)",36013,***,32.2 ,28.6, 36.3,59,stable,-3.7 ,-21.1, 17.4
"Genesee County, New York(6,10)",36037,***,32.1 ,26.7, 38.4,25,stable,6.4 ,-12.8, 29.8
"Marshall County, Illinois(6,10)",17123,***,32.1 ,21.4, 47,6,stable,-2.9 ,-38.5, 53.2
"Washington County, Maine(6,10)",23029,***,31.9 ,25.2, 40.1,17,stable,-1.3 ,-11.2, 9.8
"Grant County, Indiana(6,10)",18053,***,31.9 ,26.8, 37.7,29,stable,-0.9 ,-17.2, 18.7
"Dickinson County, Iowa(7,8)",19059,***,31.9 ,23, 43.8,9,stable,1.0 ,-1.0, 3.1
"Lyon County, Kentucky(7)",21143,***,31.8 ,19.5, 51,4,*,*,*,*
"Sierra County, New Mexico(7,8)",35051,***,31.8 ,22.2, 46.3,8,stable,2.4 ,-0.1, 5.0
"Hamilton County, Nebraska(6,10)",31081,***,31.8 ,19.3, 50.3,4,stable,-13.5 ,-46.5, 39.9
"Taylor County, Kentucky(7,8)",21217,***,31.7 ,23.5, 42,10,rising,3.9 ,0.3, 7.6
"Cheatham County, Tennessee(6,10)",47021,***,31.6 ,24, 40.8,13,stable,3.6 ,-13.7, 24.5
"Grays Harbor County, Washington(7,8)",53027,***,31.5 ,26.6, 37.2,31,stable,0.7 ,-0.2, 1.6
"Ida County, Iowa(7)",19093,***,31.5 ,18.5, 52.1,4,*,*,*,*
"Floyd County, Iowa(7,8)",19067,***,31.3 ,21.9, 44,8,stable,1.8 ,-0.3, 3.9
"Lincoln County, Montana(6,10)",30053,***,31.3 ,23.3, 42,11,stable,-15.6 ,-34.7, 9.1
"Franklin County, Maine(6,10)",23007,***,31.1 ,24.1, 39.8,14,stable,-3.8 ,-25.6, 24.4
"Chemung County, New York(6,10)",36015,***,31.1 ,26.7, 36.1,37,stable,6.5 ,-10.4, 26.7
"Morgan County, Ohio(6,10)",39115,***,31.1 ,21.4, 44.2,7,stable,3.3 ,-13.6, 23.6
"Cass County, Illinois(6,10)",17017,***,31.1 ,20.4, 45.8,5,stable,26.2 ,-16.8, 91.3
"La Salle County, Illinois(6,10)",17099,***,31.1 ,27.2, 35.4,47,stable,7.1 ,-6.7, 22.9
"Androscoggin County, Maine(6,10)",23001,***,31 ,26.9, 35.7,42,stable,0.0 ,-11.8, 13.5
"Crawford County, Illinois(6,10)",17033,***,31 ,22.3, 42.3,8,stable,-5.7 ,-26.2, 20.6
"Schuyler County, New York(6,10)",36097,***,30.9 ,22.1, 42.6,8,stable,-2.8 ,-18.8, 16.4
"Windham County, Connecticut(7,8)",09015,***,30.9 ,26.8, 35.4,43,stable,0.6 ,-0.5, 1.7
"Graham County, North Carolina(6,10)",37075,***,30.8 ,18.9, 48.7,4,stable,1.2 ,-24.5, 35.7
"Strafford County, New Hampshire(6,10)",33017,***,30.8 ,26.6, 35.4,41,falling,-11.0 ,-18.1, -3.4
"Edmonson County, Kentucky(7,8)",21061,***,30.7 ,19.9, 45.9,5,stable,0.6 ,-3.9, 5.3
"Price County, Wisconsin(6,10)",55099,***,30.5 ,20.9, 44.1,7,stable,-3.6 ,-26.4, 26.3
"Louisa County, Iowa(7)",19115,***,30.5 ,19, 46.9,4,*,*,*,*
"Wexford County, Michigan(6,10)",26165,***,30.5 #  ,23.4, 39.3,13,stable,-1.5 ,-22.3, 24.7
