Incidence Rate Report for United States by County

"Breast, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,124.7 ,124.4, 124.9,234445,stable,0.2 ,-0.2, 0.6
"Grundy County, Missouri(6,10)",29079,***,226.5 ,173.3, 291,14,stable,3.2 ,-16.8, 28.0
"Miner County, South Dakota(6,10)",46097,***,223.7 ,116.8, 390.3,3,*,*,*,*
"Potter County, South Dakota(6,10)",46107,***,218.1 ,121.8, 369.8,4,stable,-24.2 ,-66.3, 70.6
"Scott County, Illinois(6,10)",17171,***,214.4 ,149.2, 300.7,8,stable,4.3 ,-22.1, 39.6
"Adams County, North Dakota(6,10)",38001,***,213 ,117, 362.6,4,stable,-11.3 ,-41.9, 35.4
"Haakon County, South Dakota(6,10)",46055,***,204.7 ,109.2, 365.7,3,*,*,*,*
"Fallon County, Montana(6,10)",30025,***,192.4 ,107.8, 318.5,4,stable,26.4 ,-19.6, 98.7
"Collingsworth County, Texas(6,10)",48087,***,192.1 ,109.4, 313.6,4,stable,38.3 ,-14.0, 122.3
"Turner County, South Dakota(6,10)",46125,***,191.5 ,142, 254.2,11,stable,-4.6 ,-38.3, 47.4
"Quitman County, Georgia(7)",13239,***,190.8 ,108.9, 321.8,4,*,*,*,*
"Monona County, Iowa(7,8)",19133,***,187.4 ,138.4, 249.5,12,stable,1.8 ,-0.4, 4.2
"Sargent County, North Dakota(6,10)",38081,***,185.8 ,113.2, 291,5,stable,36.9 ,-20.9, 136.8
"Warren County, Georgia(7)",13301,***,185.2 ,126.7, 263.4,8,*,*,*,*
"Nantucket County, Massachusetts(6,10)",25019,***,183.9 ,137, 242.2,11,stable,1.8 ,-13.9, 20.4
"Lyman County, South Dakota(6,10)",46085,***,183.1 ,110.2, 288.4,4,stable,7.0 ,-13.4, 32.2
"Union County, Florida(6,10)",12125,***,178.8 ,132.2, 236.7,10,stable,-1.6 ,-18.0, 18.2
"Keith County, Nebraska(6,10)",31101,***,178 ,127.7, 242.8,10,stable,5.8 ,-41.6, 91.7
"Hamilton County, New York(6,10)",36041,***,177.8 ,119.2, 262.3,8,stable,7.8 ,-30.2, 66.7
"McLean County, North Dakota(6,10)",38055,***,176.1 ,129.9, 234.6,12,stable,8.0 ,-47.3, 121.2
"Winnebago County, Iowa(7,8)",19189,***,172.7 ,129.3, 226.7,13,stable,1.8 ,-0.4, 4.1
"Shelby County, Missouri(6,10)",29205,***,171.9 ,115.9, 246.8,7,stable,12.3 ,-31.3, 83.7
"Tillman County, Oklahoma(6,10)",40141,***,170.8 ,121.5, 234.5,9,rising,48.2 ,1.7, 115.9
"Ford County, Illinois(6,10)",17053,***,170.5 ,135, 213.4,17,stable,-8.3 ,-24.2, 10.9
"Wilkes County, Georgia(7,8)",13317,***,169.9 ,128.4, 221.8,13,rising,4.7 ,1.2, 8.4
"Kingsbury County, South Dakota(6,10)",46077,***,168.9 ,110.6, 249.9,6,stable,0.1 ,-42.0, 72.6
"Adams County, Iowa(7)",19003,***,168.5 ,102, 265.3,5,*,*,*,*
"Dukes County, Massachusetts(6,10)",25007,***,167.7 ,135, 206.7,21,stable,-13.2 ,-47.4, 43.3
"Fall River County, South Dakota(6,10)",46047,***,167.5 ,118.2, 233.7,9,stable,-7.6 ,-41.9, 46.9
"McCormick County, South Carolina(6,10)",45065,***,167.4 ,122.3, 226.6,13,stable,-8.5 ,-33.3, 25.5
"Adair County, Missouri(6,10)",29001,***,167 ,136.3, 202.9,22,stable,-6.0 ,-41.6, 51.5
"Wyoming County, New York(6,10)",36121,***,166.6 ,143.3, 192.7,40,stable,6.2 ,-8.9, 23.9
"Gregory County, South Dakota(6,10)",46053,***,166 ,100.9, 261.2,5,stable,4.6 ,-32.5, 61.9
"Owyhee County, Idaho(6,10)",16073,***,165.5 ,121.7, 220.1,10,stable,-5.8 ,-41.5, 51.5
"Nome Census Area, Alaska(6,10)",02180,***,165.3 ,109.6, 238.3,6,stable,-19.9 ,-41.2, 9.2
"Grand County, Utah(7,8)",49019,***,165 ,117.7, 225.3,9,stable,2.3 ,-0.5, 5.2
"Teton County, Montana(6,10)",30099,***,165 ,112, 236.3,7,stable,-14.7 ,-57.2, 69.9
"Phelps County, Nebraska(6,10)",31137,***,164.6 ,119.8, 221.4,10,rising,41.3 ,5.0, 90.1
"Trimble County, Kentucky(7,8)",21223,***,164.2 ,116.8, 224.9,8,rising,5.5 ,1.6, 9.6
"Beadle County, South Dakota(6,10)",46005,***,164.1 ,128.9, 206,17,rising,23.8 ,3.3, 48.3
"Yukon-Koyukuk Census Area, Alaska(6,10)",02290,***,163.8 ,101.4, 250.7,5,stable,-13.9 ,-39.9, 23.5
"Richland County, Montana(6,10)",30083,***,163.1 ,120.4, 216.6,10,rising,12.2 ,3.6, 21.4
"Ransom County, North Dakota(6,10)",38073,***,162.9 ,102.5, 246.4,5,stable,10.3 ,-26.0, 64.5
"Pickens County, Alabama(6,10)",01107,***,162.1 ,130.6, 199.2,20,stable,4.8 ,-29.7, 56.4
"Conecuh County, Alabama(6,10)",01035,***,162.1 ,123.4, 209.5,14,stable,-6.0 ,-18.0, 7.9
"Cooper County, Missouri(6,10)",29053,***,161.9 ,128.4, 202,18,stable,8.3 ,-19.7, 46.0
"Boise County, Idaho(6,10)",16015,***,161.9 ,110.8, 232.8,8,stable,18.5 ,-5.7, 49.0
"Cheyenne County, Nebraska(6,10)",31033,***,161.5 ,117.8, 216.5,10,stable,11.5 ,-21.4, 58.2
