Incidence Rate Report for United States by County

"Breast (in situ), 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,30.4 ,30.3, 30.5,56476,stable,-0.5 ,-2.5, 1.6
"Falls Church City, Virginia(6,10)",51610,***,80.5 ,53.3, 117,6,stable,-22.2 ,-56.1, 37.9
"Putnam County, New York(6,10)",36079,***,61.6 ,53, 71.3,39,stable,-4.3 ,-19.7, 14.2
"Nassau County, New York(6,10)",36059,***,61 ,58.6, 63.4,524,stable,-2.2 ,-9.9, 6.1
"Charles City County, Virginia(6,10)",51036,***,60.2 ,35.8, 100.7,4,stable,13.3 ,-19.2, 58.9
"Westchester County, New York(6,10)",36119,***,59 ,56.3, 61.9,355,stable,-0.4 ,-5.7, 5.3
"Charlottesville City, Virginia(6,10)",51540,***,58 ,44, 75.1,12,stable,-9.4 ,-34.2, 24.8
"Benton County, Indiana(6,10)",18007,***,57.8 ,33.3, 95,3,*,*,*,*
"York County, Nebraska(6,10)",31185,***,57.1 ,35.7, 86.9,5,stable,1.7 ,-18.6, 26.9
"New York County, New York(6,10)",36061,***,56.8 ,54.6, 59.1,518,stable,-1.6 ,-4.3, 1.2
"Sussex County, Virginia(6,10)",51183,***,56.1 ,32.1, 92.4,4,stable,2.0 ,-39.3, 71.5
"Wright County, Iowa(7)",19197,***,55.5 ,34.1, 86.2,5,*,*,*,*
"Bergen County, New Jersey(7,8)",34003,***,54.8 ,52.2, 57.6,324,stable,-4.7 ,-11.5, 2.7
"Greenville County, South Carolina(6,10)",45045,***,54.4 ,50.5, 58.4,153,stable,-2.5 ,-15.8, 12.8
"Fluvanna County, Virginia(6,10)",51065,***,54.2 ,39.9, 72.5,10,stable,1.7 ,-28.4, 44.5
"Greene County, Virginia(6,10)",51079,***,53.7 ,35.2, 78.6,6,stable,5.7 ,-49.1, 119.6
"Montour County, Pennsylvania(6,10)",42093,***,53.3 ,34.4, 78.8,6,stable,4.4 ,-35.5, 69.0
"Cascade County, Montana(6,10)",30013,***,53.3 ,44, 63.9,26,stable,-6.0 ,-12.6, 1.2
"Grundy County, Missouri(6,10)",29079,***,52.9 ,29.7, 87.4,3,*,*,*,*
"Richmond County, New York(6,10)",36085,***,52.3 ,48.6, 56.3,150,stable,-4.0 ,-13.1, 5.9
"Pickens County, South Carolina(6,10)",45077,***,52.2 ,44.7, 60.7,36,stable,-6.7 ,-18.4, 6.7
"Fairfield County, Connecticut(7,8)",09001,***,51.5 ,48.9, 54.3,292,falling,-2.8 ,-5.1, -0.6
"Lake County, South Dakota(6,10)",46079,***,51.5 ,30.2, 83,4,stable,5.0 ,-37.0, 75.1
"James City County, Virginia(6,10)",51095,***,51.3 ,42.6, 61.4,27,stable,-2.1 ,-12.0, 9.0
"Clark County, Wisconsin(6,10)",55019,***,50.9 ,37.4, 67.7,10,stable,-2.7 ,-28.7, 32.8
"Middlesex County, Virginia(6,10)",51119,***,50.8 ,28.7, 85.6,4,stable,15.7 ,-3.8, 39.2
"Suffolk County, New York(6,10)",36103,***,50.7 ,48.6, 52.9,467,stable,-2.9 ,-6.4, 0.8
"Colonial Heights City, Virginia(6,10)",51570,***,50.5 ,32.7, 74.6,6,stable,-13.5 ,-48.5, 45.1
"Rockland County, New York(6,10)",36087,***,50.4 ,45.7, 55.4,91,falling,-11.2 ,-18.1, -3.7
"Williamsburg City, Virginia(6,10)",51830,***,50.1 ,27.6, 84.1,3,*,*,*,*
"Marathon County, Wisconsin(6,10)",55073,***,49.7 ,42.9, 57.3,40,stable,-0.1 ,-19.0, 23.1
"Ozaukee County, Wisconsin(6,10)",55089,***,49.4 ,41.3, 58.7,29,stable,-4.0 ,-34.8, 41.3
"Monmouth County, New Jersey(7,8)",34025,***,49.3 ,46.2, 52.6,202,rising,1.5 ,0.4, 2.7
"Piatt County, Illinois(6,10)",17147,***,48.9 ,30.9, 74.2,5,stable,-35.5 ,-62.4, 10.5
"Portsmouth City, Virginia(6,10)",51740,***,48.9 ,40.9, 58.1,28,stable,-7.5 ,-20.4, 7.4
"King William County, Virginia(6,10)",51101,***,48.6 ,31.1, 73.2,5,stable,-1.5 ,-41.1, 64.8
"Centre County, Pennsylvania(6,10)",42027,***,48.4 ,41.4, 56.4,35,stable,7.2 ,-0.1, 14.9
"Albemarle County, Virginia(6,10)",51003,***,48.3 ,40.8, 56.8,31,stable,-6.6 ,-22.9, 13.2
"Price County, Wisconsin(6,10)",55099,***,48.1 ,28.9, 76.8,5,stable,7.3 ,-35.5, 78.3
"Anderson County, South Carolina(6,10)",45007,***,48.1 ,42.7, 54,61,falling,-8.3 ,-15.2, -0.9
"Middlesex County, Massachusetts(6,10)",25017,***,48.1 ,46, 50.2,439,stable,0.4 ,-4.3, 5.3
"Wood County, Wisconsin(6,10)",55141,***,47.9 ,39.2, 58.2,23,stable,-1.4 ,-30.0, 38.7
"Grand Traverse County, Michigan(6,10)",26055,***,47.9 #  ,39.8, 57.2,27,stable,4.6 ,-12.2, 24.8
"Camden County, New Jersey(7,8)",34007,***,47.8 ,44.3, 51.5,146,rising,4.2 ,3.1, 5.2
"Suffolk City, Virginia(6,10)",51800,***,47.4 ,39.2, 56.8,24,stable,-5.0 ,-24.2, 19.1
"Hampden County, Massachusetts(6,10)",25013,***,47.1 ,43.5, 51,131,stable,1.7 ,-1.3, 4.8
"Boone County, Indiana(6,10)",18011,***,47 ,37.2, 58.6,16,stable,18.3 ,-16.4, 67.6
"Chesapeake City, Virginia(6,10)",51550,***,46.8 ,41.6, 52.4,62,stable,-7.0 ,-19.3, 7.2
"Hartford County, Connecticut(7,8)",09003,***,46.3 ,43.7, 49,257,stable,-0.5 ,-1.2, 0.2
"Union County, New Jersey(7,8)",34039,***,46.2 ,42.9, 49.7,147,rising,4.5 ,2.7, 6.4
"Gloucester County, New Jersey(7,8)",34015,***,46 ,41.5, 50.8,81,rising,1.6 ,0.3, 3.0
"Grand Forks County, North Dakota(6,10)",38035,***,45.9 ,35.5, 58.4,14,stable,18.4 ,-2.2, 43.5
"Middlesex County, Connecticut(7,8)",09007,***,45.9 ,40.2, 52.2,51,rising,2.4 ,1.2, 3.7
"San Mateo County, California(7,8)",06081,***,45.6 ,42.9, 48.6,208,stable,-0.0 ,-0.8, 0.8
"Osceola County, Michigan(6,10)",26133,***,45.6 #  ,31, 65,7,falling,-13.7 ,-19.2, -7.8
"Rockingham County, New Hampshire(6,10)",33015,***,45.6 ,41.3, 50.2,89,stable,-0.2 ,-19.4, 23.5
"Norfolk County, Massachusetts(6,10)",25021,***,45.5 ,42.6, 48.5,195,rising,6.3 ,1.4, 11.5
"Hunterdon County, New Jersey(7,8)",34019,***,45.3 ,38.8, 52.7,38,rising,2.9 ,1.5, 4.3
"Butler County, Pennsylvania(6,10)",42019,***,45 ,39.6, 50.9,54,stable,-8.0 ,-24.0, 11.3
"Washtenaw County, Michigan(6,10)",26161,***,45 #  ,40.7, 49.5,85,stable,-3.3 ,-11.8, 6.0
"Petersburg City, Virginia(6,10)",51730,***,44.9 ,32.8, 60.2,10,stable,-11.0 ,-32.3, 17.0
"Mathews County, Virginia(6,10)",51115,***,44.8 ,25.4, 78,4,stable,-11.7 ,-37.9, 25.6
"Barnstable County, Massachusetts(6,10)",25001,***,44.7 ,39.7, 50.1,77,stable,-5.2 ,-18.6, 10.4
"Perry County, Pennsylvania(6,10)",42099,***,44.6 ,34.1, 57.5,13,stable,-1.6 ,-32.7, 43.9
"Tolland County, Connecticut(7,8)",09013,***,44.5 ,38.2, 51.6,38,stable,-13.9 ,-30.5, 6.8
"Poquoson City, Virginia(6,10)",51735,***,44.5 ,26.1, 72.4,4,stable,8.5 ,-34.1, 78.7
"Union County, South Dakota(6,10)",46127,***,44.3 ,26.3, 70.5,4,stable,-13.4 ,-58.8, 81.9
"DuPage County, Illinois(6,10)",17043,***,44.1 ,41.6, 46.7,244,stable,1.9 ,-4.3, 8.5
"Chickasaw County, Iowa(7)",19037,***,44.1 ,25.2, 72.7,3,*,*,*,*
"Somerset County, New Jersey(7,8)",34035,***,43.7 ,39.7, 48.1,89,rising,1.3 ,0.1, 2.5
"Wright County, Missouri(6,10)",29229,***,43.7 ,28.1, 65.4,5,stable,-11.9 ,-56.1, 76.9
"Dubuque County, Iowa(7,8)",19061,***,43.7 ,36.1, 52.4,25,stable,1.4 ,-0.1, 2.9
"Washington County, Pennsylvania(6,10)",42125,***,43.5 ,38.5, 49,61,rising,17.0 ,12.4, 21.8
"Pasquotank County, North Carolina(6,10)",37139,***,43.5 ,32.2, 57.6,11,stable,6.1 ,-24.7, 49.5
"Dauphin County, Pennsylvania(6,10)",42043,***,43.5 ,39, 48.4,73,stable,-6.4 ,-14.9, 2.8
"King County, Washington(7,8)",53033,***,43.4 ,41.7, 45.2,493,falling,-2.1 ,-4.0, -0.1
"Bryan County, Georgia(7)",13029,***,43.4 ,30, 60.6,7,*,*,*,*
"Pontotoc County, Mississippi(6,10)",28115,***,43.3 ,30.6, 59.7,8,stable,22.2 ,-19.8, 86.1
"Madison County, Virginia(6,10)",51113,***,43.3 ,26.7, 67.9,4,stable,19.1 ,-0.9, 43.0
"Morris County, New Jersey(7,8)",34027,***,43.2 ,40, 46.7,138,stable,0.5 ,-0.8, 1.8
"Orange County, Vermont(6,10)",50017,***,43.1 ,30.3, 59.9,8,stable,1.0 ,-35.1, 57.4
"New Kent County, Virginia(6,10)",51127,***,43.1 ,27.8, 64.7,5,stable,14.7 ,-35.0, 102.6
"Erie County, New York(6,10)",36029,***,43.1 ,40.7, 45.7,249,stable,0.9 ,-6.2, 8.7
"New Castle County, Delaware(6,10)",10003,***,43.1 ,39.9, 46.5,141,stable,-6.5 ,-19.8, 9.0
"St. Martin Parish, Louisiana(7,8)",22099,***,43.1 ,32.9, 55.5,13,rising,8.2 ,2.9, 13.7
"Newport County, Rhode Island(6,10)",44005,***,42.9 ,35.1, 52.1,23,stable,-3.5 ,-9.6, 3.0
"Putnam County, Ohio(6,10)",39137,***,42.9 ,30.1, 59.2,8,stable,37.8 ,-19.8, 137.0
"Fairfax County, Virginia(6,10)",51059,***,42.9 ,40.5, 45.3,272,stable,-2.3 ,-15.6, 13.1
"Appomattox County, Virginia(6,10)",51011,***,42.9 ,26.1, 67,4,stable,-26.1 ,-60.4, 38.0
"Oglethorpe County, Georgia(7)",13221,***,42.8 ,25.7, 67.7,4,*,*,*,*
"Kendall County, Illinois(6,10)",17093,***,42.8 ,35.2, 51.5,24,stable,8.0 ,-15.3, 37.6
"Alcona County, Michigan(6,10)",26001,***,42.5 #  ,21.6, 78.7,4,stable,-11.6 ,-55.5, 75.6
"York County, Virginia(6,10)",51199,***,42.4 ,33.8, 52.7,17,stable,-5.7 ,-41.3, 51.3
"Strafford County, New Hampshire(6,10)",33017,***,42.3 ,35.6, 49.9,30,stable,0.6 ,-24.7, 34.2
"Minnehaha County, South Dakota(6,10)",46099,***,42.2 ,36.4, 48.7,39,stable,-9.5 ,-26.3, 11.1
"Beaver County, Pennsylvania(6,10)",42007,***,42.2 ,37, 48,53,stable,1.3 ,-20.3, 28.9
"District of Columbia(6,10)",11001,***,42.1 ,39, 45.5,139,falling,-4.2 ,-7.7, -0.5
"Kingfisher County, Oklahoma(6,10)",40073,***,42.1 ,25.5, 66.1,4,stable,32.6 ,-8.6, 92.3
"Hampshire County, Massachusetts(6,10)",25015,***,42.1 ,36.1, 48.9,38,stable,-1.8 ,-33.3, 44.7
"Isle of Wight County, Virginia(6,10)",51093,***,42 ,31, 56.1,11,stable,-6.3 ,-30.7, 26.8
"Oakland County, Michigan(7,8)",26125,***,42 ,39.9, 44.1,329,stable,-0.7 ,-1.4, 0.1
"Union County, Pennsylvania(6,10)",42119,***,42 ,30.5, 56.5,10,stable,9.1 ,-37.5, 90.6
"Albany County, New York(6,10)",36001,***,41.9 ,37.7, 46.5,77,stable,1.8 ,-10.8, 16.1
"Oconee County, Georgia(7,8)",13219,***,41.8 ,30.2, 56.7,9,stable,2.2 ,-3.2, 8.0
"Dorchester County, Maryland(6,10)",24019,***,41.7 ,30.2, 56.5,10,stable,-2.7 ,-36.6, 49.2
"New London County, Connecticut(7,8)",09011,***,41.6 ,37.3, 46.4,72,stable,-0.8 ,-3.7, 2.2
"Chester County, Pennsylvania(6,10)",42029,***,41.6 ,38.3, 45,127,stable,4.1 ,-6.3, 15.6
"Berks County, Pennsylvania(6,10)",42011,***,41.5 ,38, 45.3,105,stable,0.2 ,-11.7, 13.7
"Hardin County, Ohio(6,10)",39065,***,41.5 ,28.7, 58,7,stable,23.3 ,-26.7, 107.3
"Lancaster County, Nebraska(6,10)",31109,***,41.4 ,36.8, 46.4,63,stable,2.8 ,-18.9, 30.3
"Virginia Beach City, Virginia(6,10)",51810,***,41.3 ,37.8, 45.1,105,stable,-3.5 ,-12.9, 6.9
"Placer County, California(7,8)",06061,***,41.3 ,37.7, 45.2,101,stable,0.8 ,-1.0, 2.6
"Essex County, Massachusetts(6,10)",25009,***,41.2 ,38.6, 44,199,falling,-7.9 ,-14.2, -1.0
"Westmoreland County, Virginia(6,10)",51193,***,41.2 ,26.6, 62.1,6,stable,-21.3 ,-50.2, 24.3
"Henrico County, Virginia(6,10)",51087,***,41.2 ,37.2, 45.5,80,stable,-2.7 ,-12.7, 8.5
"Hamilton County, Indiana(6,10)",18057,***,41.2 ,36.8, 46,66,rising,10.4 ,7.6, 13.4
"Lake County, Illinois(6,10)",17097,***,41.2 ,38.3, 44.1,165,falling,-6.2 ,-11.5, -0.7
"Loudoun County, Virginia(6,10)",51107,***,41.1 ,36.9, 45.8,72,stable,4.2 ,-17.1, 30.8
"Stone County, Mississippi(6,10)",28131,***,41.1 ,24.8, 64.3,4,stable,-4.5 ,-45.6, 67.4
"Jasper County, Georgia(7)",13159,***,41 ,23.3, 67.5,3,*,*,*,*
"Hampton City, Virginia(6,10)",51650,***,41 ,34.8, 47.9,33,stable,-0.9 ,-23.1, 27.8
"Franklin County, Massachusetts(6,10)",25011,***,40.9 ,32.6, 50.7,19,stable,-8.0 ,-24.3, 11.8
"Clark County, Arkansas(6,10)",05019,***,40.9 ,26.2, 61,5,stable,-6.3 ,-44.5, 58.1
"Flagler County, Florida(6,10)",12035,***,40.9 ,34.1, 48.7,32,stable,-5.9 ,-24.5, 17.4
"Leelanau County, Michigan(6,10)",26089,***,40.8 #  ,27.5, 59.7,7,stable,2.8 ,-53.3, 126.4
"Queens County, New York(6,10)",36081,***,40.8 ,39.3, 42.4,549,stable,-0.4 ,-9.3, 9.5
"Norfolk City, Virginia(6,10)",51710,***,40.8 ,35.6, 46.5,47,stable,-2.9 ,-18.9, 16.2
"Nelson County, Virginia(6,10)",51125,***,40.7 ,24.9, 64.3,5,stable,-11.4 ,-56.9, 81.8
"Cumberland County, Pennsylvania(6,10)",42041,***,40.7 ,36, 45.8,60,falling,-5.6 ,-10.7, -0.3
"Newport News City, Virginia(6,10)",51700,***,40.5 ,35, 46.5,41,stable,0.8 ,-15.6, 20.3
"Hardin County, Iowa(7,8)",19083,***,40.4 ,25.4, 62,5,stable,3.1 ,-0.4, 6.6
"Pierce County, Washington(7,8)",53053,***,40.4 ,37.8, 43.1,184,rising,1.9 ,1.0, 2.8
"Kossuth County, Iowa(7,8)",19109,***,40.3 ,22.5, 66.7,4,stable,0.8 ,-2.4, 4.1
"Arlington County, Virginia(6,10)",51013,***,40.2 ,34.8, 46.2,42,stable,-1.9 ,-10.4, 7.4
"York County, Maine(6,10)",23031,***,40.2 ,35.4, 45.4,56,stable,-8.0 ,-22.4, 9.1
"Benton County, Oregon(6,10)",41003,***,40.1 ,32, 49.7,19,stable,-15.8 ,-32.2, 4.6
"Alamance County, North Carolina(6,10)",37001,***,40.1 ,34.6, 46.2,40,stable,22.2 ,-9.7, 65.4
"Leon County, Florida(6,10)",12073,***,40 ,35.4, 45.2,56,stable,-14.0 ,-26.8, 1.2
"Oconee County, South Carolina(6,10)",45073,***,39.9 ,32.5, 48.7,23,stable,16.2 ,-14.3, 57.5
"Vilas County, Wisconsin(6,10)",55125,***,39.9 ,27.1, 58.4,7,stable,1.2 ,-45.4, 87.7
"Marin County, California(7,8)",06041,***,39.9 ,35.7, 44.5,72,rising,1.7 ,0.7, 2.8
"Marquette County, Michigan(6,10)",26103,***,39.9 #  ,31, 50.5,16,stable,-0.4 ,-35.9, 54.7
"Delaware County, Ohio(6,10)",39041,***,39.9 ,34.5, 45.8,41,stable,-1.9 ,-17.1, 16.2
