Incidence Rate Report for United States by County

"Cervix, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,No,7.5 ,7.5, 7.6,12529,stable,0.2 ,-1.4, 1.9
"De Soto Parish, Louisiana(7)",22031,No,27.6 ,16.1, 44.1,4,*,*,*,*
"Hill County, Texas(6,10)",48217,No,19.8 ,11.3, 32.1,4,stable,10.4 ,-16.3, 45.5
"Marion County, Ohio(6,10)",39101,No,19.5 ,12.6, 28.5,5,stable,-5.0 ,-40.2, 51.1
"Muskogee County, Oklahoma(6,10)",40101,No,19 ,12.8, 27.1,6,stable,-5.4 ,-37.5, 43.1
"Miller County, Arkansas(6,10)",05091,No,18.9 ,11.5, 29.2,4,stable,-29.5 ,-57.1, 15.8
"Chambers County, Alabama(6,10)",01017,No,18.4 ,10.9, 29.2,4,stable,-0.2 ,-49.0, 95.1
"Greene County, Arkansas(6,10)",05055,No,18.1 ,10.9, 28.2,4,stable,13.4 ,-49.9, 156.7
"Natchitoches Parish, Louisiana(7)",22069,No,17.4 ,9.7, 28.3,3,*,*,*,*
"Tallapoosa County, Alabama(6,10)",01123,No,17.3 ,10.2, 27.5,4,*,*,*,*
"Angelina County, Texas(6,10)",48005,No,17.2 ,12, 23.8,7,stable,26.1 ,-1.7, 61.9
"Val Verde County, Texas(6,10)",48465,No,17.1 ,10.3, 26.5,4,stable,-7.1 ,-61.3, 123.0
"Maverick County, Texas(6,10)",48323,No,16.7 ,10.3, 25.5,4,stable,-7.6 ,-36.1, 33.6
"Pittsburg County, Oklahoma(6,10)",40121,No,16.1 ,9.1, 26.2,4,*,*,*,*
"Klamath County, Oregon(6,10)",41035,No,15.7 ,9.7, 23.8,5,stable,-4.9 ,-47.5, 72.0
"Brown County, Ohio(6,10)",39015,No,15.5 ,9, 24.9,4,stable,-7.2 ,-42.7, 50.3
"Polk County, Georgia(7)",13233,No,15.4 ,8.6, 25.2,3,*,*,*,*
"McDowell County, North Carolina(6,10)",37111,No,14.8 ,8.3, 24.3,3,*,*,*,*
"Blount County, Alabama(6,10)",01009,No,14.7 ,8.9, 22.8,4,stable,-5.1 ,-30.1, 28.9
"Etowah County, Alabama(6,10)",01055,No,14.4 ,10.1, 19.9,8,stable,3.5 ,-25.4, 43.7
"Wayne County, New York(6,10)",36117,No,14.4 ,9.7, 20.5,7,stable,39.5 ,-7.3, 110.1
"Scioto County, Ohio(6,10)",39145,No,14.3 ,9.3, 20.9,6,stable,-13.4 ,-35.3, 15.9
"Sampson County, North Carolina(6,10)",37163,No,14.2 ,8.9, 21.5,5,stable,-18.2 ,-50.5, 34.9
"Starr County, Texas(6,10)",48427,No,14.1 ,8.6, 21.7,4,stable,8.9 ,-24.5, 57.2
"Boone County, Illinois(6,10)",17007,No,14 ,8.3, 22,4,stable,-8.3 ,-51.6, 74.0
"Navarro County, Texas(6,10)",48349,No,13.8 ,8.1, 22,4,stable,-7.2 ,-48.6, 67.4
"Lea County, New Mexico(7)",35025,No,13.8 ,8.4, 21.3,4,*,*,*,*
"Union County, Ohio(6,10)",39159,No,13.8 ,8.4, 21.5,4,stable,7.4 ,-25.4, 54.6
"Henderson County, Texas(6,10)",48213,No,13.3 ,8.5, 19.8,5,stable,22.9 ,-51.2, 209.3
"Victoria County, Texas(6,10)",48469,No,13.3 ,8.9, 19.1,6,stable,-9.1 ,-35.9, 28.8
"Sebastian County, Arkansas(6,10)",05131,No,13.2 ,9.3, 18,8,stable,9.2 ,-24.3, 57.4
"Orange County, Texas(6,10)",48361,No,13.1 ,8.5, 19.4,5,stable,-10.4 ,-32.7, 19.3
