Incidence Rate Report for United States by County

"Colon & Rectum, 2011-2015"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,Yes,39.2 ,39.1, 39.3,139950,falling,-1.7 ,-2.4, -1.0
"Union County, Florida(6,10)",12125,No,125.7 ,101.6, 154,21,stable,-13.3 ,-29.7, 7.0
"North Slope Borough, Alaska(6,10)",02185,No,109.8 ,66.4, 167.8,6,stable,-11.5 ,-58.5, 88.4
"Hanson County, South Dakota(6,10)",46061,No,104.1 ,57.1, 172.9,3,*,*,*,*
"Aurora County, South Dakota(6,10)",46003,No,97.8 ,59.3, 155.9,4,stable,-2.7 ,-45.9, 75.2
"Kingsbury County, South Dakota(6,10)",46077,No,95.6 ,64, 138.5,7,stable,23.2 ,-2.8, 56.0
"Yukon-Koyukuk Census Area, Alaska(6,10)",02290,No,93.5 ,61.2, 137,6,stable,-18.7 ,-55.0, 46.9
"Dillingham Census Area, Alaska(6,10)",02070,No,92 ,53, 147.7,4,stable,3.3 ,-59.8, 165.4
"Northwest Arctic Borough, Alaska(6,10)",02188,No,91.5 ,55.7, 139.9,4,stable,7.4 ,-44.1, 106.3
"Bethel Census Area, Alaska(6,10)",02050,No,90.4 ,64.2, 122.9,9,stable,26.8 ,-4.1, 67.8
"Bracken County, Kentucky(7,8)",21023,No,90 ,65.3, 121.5,9,stable,2.1 ,-4.9, 9.6
"Turner County, Georgia(7)",13287,No,88.6 ,63.3, 120.8,9,*,*,*,*
"Douglas County, South Dakota(6,10)",46043,No,88.5 ,46.3, 153.6,3,*,*,*,*
"Powell County, Kentucky(7,8)",21197,No,86.7 ,65.7, 112.4,12,stable,3.4 ,-0.7, 7.6
"Sharkey County, Mississippi(6,10)",28125,No,84.5 ,53.7, 127.6,5,*,*,*,*
"Wade Hampton Census Area, Alaska(6,10)",02270,No,83.7 ,44, 140.9,3,*,*,*,*
"Adams County, Iowa(7,8)",19003,No,82.4 ,52.7, 125.7,5,stable,2.0 ,-0.8, 4.9
"Chattahoochee County, Georgia(7)",13053,No,81.5 ,46.4, 130.6,3,*,*,*,*
"Bowman County, North Dakota(6,10)",38011,No,80.9 ,48.2, 130.6,4,stable,7.7 ,-53.4, 148.8
"Dewey County, South Dakota(6,10)",46041,No,80.6 ,47.5, 126.9,4,stable,7.3 ,-38.8, 88.1
"Nome Census Area, Alaska(6,10)",02180,No,78.5 ,48.9, 118,5,rising,11.4 ,0.6, 23.4
"Holmes County, Mississippi(6,10)",28051,No,78.1 ,61.6, 97.8,16,stable,5.8 ,-13.6, 29.5
"East Carroll Parish, Louisiana(7,8)",22035,No,77.3 ,52.4, 110.1,6,stable,2.0 ,-1.4, 5.6
"Humphreys County, Mississippi(6,10)",28053,No,77.2 ,54.2, 106.8,8,stable,-34.3 ,-60.2, 8.3
"Estill County, Kentucky(7,8)",21065,No,76.7 ,58.8, 98.5,13,stable,1.9 ,-2.5, 6.4
"Carroll County, Kentucky(7,8)",21041,No,75.2 ,54.7, 101.1,9,stable,0.5 ,-3.7, 5.0
"Wolfe County, Kentucky(7,8)",21237,No,74.4 ,50.1, 106.8,6,stable,-1.4 ,-6.6, 4.2
"Bolivar County, Mississippi(6,10)",28011,No,73.9 ,61.8, 87.8,28,stable,2.8 ,-10.5, 18.0
"Evangeline Parish, Louisiana(7,8)",22039,No,73.1 ,61.1, 86.8,27,stable,1.3 ,-1.0, 3.7
"Mountrail County, North Dakota(6,10)",38061,No,72.8 ,50.1, 102.3,7,stable,-5.7 ,-27.1, 21.9
"Sargent County, North Dakota(6,10)",38081,No,72.5 ,41.7, 118.7,4,*,*,*,*
"Sunflower County, Mississippi(6,10)",28133,No,72.4 ,58.9, 88.1,21,rising,6.6 ,3.8, 9.6
"Kearney County, Nebraska(6,10)",31099,No,71.7 ,47.8, 104.2,6,stable,6.5 ,-29.0, 59.7
"McLean County, North Dakota(6,10)",38055,No,71.2 ,51.1, 97.2,10,stable,-14.7 ,-50.0, 45.6
"Nuckolls County, Nebraska(6,10)",31129,No,70.8 ,39.8, 117.2,4,stable,-23.1 ,-62.0, 55.7
"Lawrence County, Kentucky(7,8)",21127,No,70.3 ,53.5, 90.8,12,stable,1.9 ,-0.8, 4.7
"Charlotte County, Virginia(6,10)",51037,No,70 ,53.6, 90.6,13,stable,-1.3 ,-20.8, 23.1
"Trousdale County, Tennessee(6,10)",47169,No,70 ,48, 99.2,7,stable,3.6 ,-50.0, 114.6
"McPherson County, South Dakota(6,10)",46089,No,69.8 ,37, 127.2,3,*,*,*,*
"Cross County, Arkansas(6,10)",05037,No,69.7 ,54.5, 87.9,15,stable,-3.2 ,-7.5, 1.2
"Polk County, Nebraska(6,10)",31143,No,69.6 ,43.9, 106.3,5,stable,-9.9 ,-56.0, 84.3
"Martin County, Kentucky(7,8)",21159,No,69.4 ,50.6, 93.1,9,stable,0.8 ,-3.8, 5.5
"Letcher County, Kentucky(7,8)",21133,No,69.3 ,56.2, 84.7,21,stable,-0.4 ,-2.6, 1.8
"Wabash County, Illinois(6,10)",17185,No,69 ,52.1, 90.2,12,stable,1.2 ,-22.5, 32.3
"Jay County, Indiana(6,10)",18075,No,68.7 ,54.9, 85,18,stable,0.4 ,-10.8, 13.0
"Clinton County, Kentucky(7,8)",21053,No,68.4 ,50.1, 91.9,10,stable,3.3 ,-1.7, 8.5
"Kiowa County, Oklahoma(6,10)",40075,No,68.3 ,47.9, 94.9,8,stable,-2.9 ,-51.7, 95.2
"Stark County, Illinois(6,10)",17175,No,68.1 ,43.9, 102,6,stable,-10.6 ,-54.6, 75.8
"McCook County, South Dakota(6,10)",46087,No,67.9 ,44.4, 100.9,6,stable,4.9 ,-27.0, 50.7
