Incidence Rate Report for United States by County

"Ovary, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,11.3 ,11.3, 11.4,21476,falling,-1.6 ,-1.8, -1.5
"Lee County, Georgia(7)",13177,***,25.3 ,15.1, 39.9,4,*,*,*,*
"Marion County, Alabama(6,10)",01093,***,23.2 ,13.9, 36.7,4,stable,6.1 ,-36.8, 78.4
"Allegany County, New York(6,10)",36003,***,22.6 ,15.2, 32.4,7,stable,-25.0 ,-48.9, 10.2
"Hardin County, Ohio(6,10)",39065,***,21.6 ,13, 33.9,4,falling,-35.7 ,-56.3, -5.5
"Lincoln County, Nebraska(6,10)",31111,***,20.7 ,12.9, 31.7,5,stable,21.5 ,-24.5, 95.5
"Pickens County, Georgia(7,8)",13227,***,20.6 ,12.1, 33.3,4,stable,2.7 ,-3.1, 8.8
"Washington County, Iowa(7)",19183,***,20.5 ,11.8, 34,3,*,*,*,*
"Mingo County, West Virginia(6,10)",54059,***,20.3 ,11.4, 33.9,3,*,*,*,*
"Boone County, West Virginia(6,10)",54005,***,20 ,11.4, 33.4,3,*,*,*,*
"Marinette County, Wisconsin(6,10)",55075,***,19.7 ,12.4, 30,6,stable,-18.3 ,-50.0, 33.6
"Sumter County, Florida(6,10)",12119,***,19.7 ,13.7, 27.8,20,stable,-31.5 ,-63.6, 28.8
"Chambers County, Alabama(6,10)",01017,***,19.5 ,11.9, 30.4,4,stable,9.1 ,-54.5, 161.1
"Amherst County, Virginia(6,10)",51009,***,19.4 ,11.6, 30.8,4,*,*,*,*
"Union County, Georgia(7,8)",13291,***,19.4 ,10.8, 33.8,4,stable,2.8 ,-3.6, 9.7
"Jasper County, Texas(6,10)",48241,***,19.4 ,11.6, 30.6,4,stable,9.7 ,-45.8, 121.9
"Habersham County, Georgia(7,8)",13137,***,19.4 ,12.6, 28.6,5,stable,0.5 ,-5.3, 6.8
"Jackson County, Georgia(7,8)",13157,***,19.3 ,13.1, 27.4,6,stable,-0.6 ,-6.4, 5.5
"Gladwin County, Michigan(6,10)",26051,***,19.2 #  ,10.9, 32.4,4,stable,20.2 ,-16.6, 73.3
"Clarion County, Pennsylvania(6,10)",42031,***,19.2 ,12.1, 29.1,5,stable,7.4 ,-39.9, 92.0
"Clinton County, Indiana(6,10)",18023,***,19.2 ,11.2, 30.8,4,stable,27.0 ,-16.2, 92.4
"Pender County, North Carolina(6,10)",37141,***,19.1 ,12.8, 27.5,6,stable,-8.0 ,-52.5, 78.1
"Montgomery County, Indiana(6,10)",18107,***,18.9 ,11.5, 29.6,4,stable,-5.7 ,-36.1, 39.4
"Hocking County, Ohio(6,10)",39073,***,18.7 ,10.7, 30.9,3,*,*,*,*
"Fayette County, Texas(6,10)",48149,***,18.7 ,9.8, 32.8,3,*,*,*,*
"Jackson County, Alabama(6,10)",01071,***,18.6 ,12.8, 26.4,7,stable,-8.5 ,-26.2, 13.6
"Logan County, Ohio(6,10)",39091,***,18.5 ,11.6, 28,5,stable,5.6 ,-36.8, 76.6
"Delaware County, New York(6,10)",36025,***,18.4 ,12.2, 27.1,6,stable,-13.5 ,-47.7, 43.0
"Genesee County, New York(6,10)",36037,***,18.4 ,12.5, 26.2,7,stable,-13.1 ,-47.3, 43.4
