Incidence Rate Report for United States by County

"Prostate, 2011-2015"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,109 ,108.8, 109.2,190639,falling,-7.3 ,-13.0, -1.1
"Potter County, South Dakota(6,10)",46107,***,241.8 ,152, 378.8,5,stable,-4.3 ,-14.4, 7.0
"Wilkinson County, Mississippi(6,10)",28157,***,235 ,179.6, 302.7,13,stable,12.5 ,-7.2, 36.3
"Jefferson County, Mississippi(6,10)",28063,***,227.4 ,164.7, 306.5,9,stable,2.5 ,-23.2, 36.8
"Petersburg City, Virginia(6,10)",51730,***,218.9 ,188, 253.7,38,stable,-8.5 ,-21.9, 7.1
"Miner County, South Dakota(6,10)",46097,***,212.6 ,125.6, 348,4,stable,-8.6 ,-38.8, 36.6
"Franklin County, Mississippi(6,10)",28037,***,209.8 ,157.2, 276.2,11,stable,3.8 ,-24.8, 43.3
"Chautauqua County, New York(6,10)",36013,***,204.7 ,191.3, 218.9,180,falling,-15.3 ,-26.7, -2.2
"Bolivar County, Mississippi(6,10)",28011,***,203.6 ,172.3, 239,33,stable,8.7 ,-21.2, 50.1
"Stanley County, South Dakota(6,10)",46117,***,201.7 ,124.9, 314.5,4,stable,-11.2 ,-43.5, 39.4
"Union County, Florida(6,10)",12125,***,201 ,167.1, 241.1,28,stable,2.5 ,-23.7, 37.7
"Lee County, South Carolina(6,10)",45061,***,196.9 ,159.4, 240.9,21,stable,-6.8 ,-18.3, 6.3
"Marlboro County, South Carolina(6,10)",45069,***,194.7 ,163.5, 230.3,31,stable,-12.4 ,-26.9, 5.1
"Dewey County, South Dakota(6,10)",46041,***,191.7 ,117, 294.4,4,stable,-29.6 ,-71.8, 75.7
"West Baton Rouge Parish, Louisiana(7,8)",22121,***,187.8 ,153.1, 228,23,stable,-1.0 ,-3.4, 1.4
"Grenada County, Mississippi(6,10)",28043,***,187.4 ,154.1, 226.1,23,stable,2.0 ,-4.3, 8.7
"Macon County, Alabama(6,10)",01087,***,186.2 ,151, 227.7,21,stable,13.6 ,-10.6, 44.2
"Calhoun County, Mississippi(6,10)",28013,***,185.8 ,147, 232.3,16,stable,-9.7 ,-33.7, 22.8
"St. James Parish, Louisiana(7,8)",22093,***,185.8 ,152.8, 224.2,23,stable,-0.5 ,-3.3, 2.4
"Sumter County, Alabama(6,10)",01119,***,183.8 ,141.5, 235.8,14,stable,-5.8 ,-20.3, 11.4
"Marion County, South Carolina(6,10)",45067,***,181.6 ,154.2, 212.7,34,stable,-13.8 ,-26.8, 1.7
"Gregory County, South Dakota(6,10)",46053,***,180 ,118.9, 266.2,6,stable,-25.1 ,-52.4, 17.9
"Catahoula Parish, Louisiana(7,8)",22025,***,177.2 ,133.2, 231.9,11,stable,-0.2 ,-3.9, 3.7
"Emmons County, North Dakota(6,10)",38029,***,176.7 ,115.7, 269.6,6,stable,0.5 ,-42.1, 74.5
"Claiborne Parish, Louisiana(7,8)",22027,***,176.1 ,142.2, 216.2,19,stable,-2.5 ,-5.1, 0.2
"Yalobusha County, Mississippi(6,10)",28161,***,176.1 ,137.1, 223.8,15,stable,-3.7 ,-23.5, 21.3
"Dallas County, Alabama(6,10)",01047,***,175.5 ,151.6, 202.3,42,stable,-10.4 ,-26.4, 9.0
"Vermilion Parish, Louisiana(7,8)",22113,***,175.1 ,154.6, 197.6,55,falling,-2.0 ,-3.7, -0.1
"Tooele County, Utah(7,8)",49045,***,174.5 ,150.1, 201.6,41,stable,-0.4 ,-1.8, 1.1
