Incidence Rate Report for United States by County

"Uterus (Corpus & Uterus, NOS), 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,26.2 ,26.1, 26.3,51560,rising,1.2 ,0.7, 1.7
"Benton County, Indiana(6,10)",18007,***,62 ,34.5, 103.4,3,*,*,*,*
"Clay County, West Virginia(6,10)",54015,***,60.9 ,34.5, 100.5,3,*,*,*,*
"Decatur County, Iowa(7)",19053,***,59.9 ,35, 98.5,4,*,*,*,*
"Letcher County, Kentucky(7,8)",21133,***,50.5 ,35.5, 70,8,rising,3.9 ,0.7, 7.2
"Mitchell County, Iowa(7)",19131,***,49.6 ,27.1, 83.9,4,*,*,*,*
"Leslie County, Kentucky(7,8)",21131,***,49.6 ,28.3, 81.5,3,stable,0.9 ,-4.0, 6.0
"Fleming County, Kentucky(7)",21069,***,49 ,30.9, 74.7,5,*,*,*,*
"Keokuk County, Iowa(7)",19107,***,49 ,28.6, 80.4,4,*,*,*,*
"Gem County, Idaho(6,10)",16045,***,48.8 ,30, 75.1,5,stable,-11.0 ,-46.4, 47.7
"Ashland County, Wisconsin(6,10)",55003,***,48.6 ,29.6, 75.3,5,stable,-12.5 ,-41.1, 30.1
"Perry County, Pennsylvania(6,10)",42099,***,48.3 ,37.5, 61.6,15,stable,7.5 ,-11.2, 30.3
"Franklin County, Iowa(7)",19069,***,48.3 ,26.4, 81.8,3,*,*,*,*
"Crawford County, Iowa(7)",19047,***,48.2 ,30.5, 72.7,5,*,*,*,*
"Cortland County, New York(6,10)",36023,***,48.1 ,37.2, 61.5,14,stable,5.4 ,-34.2, 68.8
"Newton County, Indiana(6,10)",18111,***,47.9 ,28.9, 75.4,4,stable,-2.6 ,-48.0, 82.3
"Boone County, West Virginia(6,10)",54005,***,47.7 ,33.2, 67,8,stable,14.6 ,-20.1, 64.4
"Juniata County, Pennsylvania(6,10)",42067,***,47 ,33.4, 64.9,8,stable,-2.5 ,-17.2, 14.7
"Clinton County, Pennsylvania(6,10)",42035,***,46.8 ,34.9, 61.7,11,stable,7.2 ,-17.1, 38.6
"Rowan County, Kentucky(7)",21205,***,46.7 ,31.5, 67.1,6,*,*,*,*
"Osceola County, Michigan(6,10)",26133,***,46.1 #  ,31.7, 65.3,7,stable,30.9 ,-38.4, 178.2
"Mineral County, West Virginia(6,10)",54057,***,45.4 ,32.7, 61.8,9,stable,-6.5 ,-25.6, 17.6
"Jackson County, Kentucky(7,8)",21109,***,45.3 ,26.8, 72.5,4,stable,1.4 ,-4.2, 7.3
"Cherokee County, Iowa(7)",19035,***,45.1 ,24.8, 76,4,*,*,*,*
"Caledonia County, Vermont(6,10)",50005,***,45.1 ,33.2, 60.4,10,stable,-9.9 ,-29.3, 14.8
"Crawford County, Ohio(6,10)",39033,***,45 ,34.3, 58.2,13,stable,-5.6 ,-26.8, 21.6
"Chenango County, New York(6,10)",36017,***,44.9 ,34.8, 57.1,15,stable,14.6 ,-15.6, 55.6
"Wyoming County, Pennsylvania(6,10)",42131,***,44.5 ,32, 60.8,9,stable,1.0 ,-14.9, 19.9
"Allamakee County, Iowa(7)",19005,***,44.3 ,27.9, 68.4,5,*,*,*,*
"Powell County, Kentucky(7)",21197,***,44 ,24.7, 72.9,3,*,*,*,*
"Fountain County, Indiana(6,10)",18045,***,43.8 ,28.2, 65.8,5,stable,-24.9 ,-52.7, 19.1
"Greene County, Pennsylvania(6,10)",42059,***,43.5 ,32.3, 57.6,11,stable,-3.1 ,-16.9, 12.9
"Starke County, Indiana(6,10)",18149,***,43.3 ,29.1, 62.4,6,stable,-7.3 ,-21.9, 10.1
"Buena Vista County, Iowa(7)",19021,***,43.2 ,27.6, 64.7,5,*,*,*,*
"Randolph County, Arkansas(6,10)",05121,***,43 ,27.8, 64.4,5,stable,3.7 ,-38.7, 75.5
"Nodaway County, Missouri(6,10)",29147,***,43 ,28, 63.9,5,stable,4.8 ,-27.2, 50.9
"Adair County, Missouri(6,10)",29001,***,42.7 ,27.9, 62.9,6,stable,-4.3 ,-41.9, 57.4
"Pike County, Ohio(6,10)",39131,***,42.7 ,30, 59.3,8,stable,9.1 ,-27.8, 64.9
"Columbia County, Pennsylvania(6,10)",42037,***,42.4 ,33.8, 52.7,18,stable,-2.4 ,-17.5, 15.5
"Amelia County, Virginia(6,10)",51007,***,42.1 ,25.6, 66.9,4,stable,-11.1 ,-43.4, 39.5
"Wapello County, Iowa(7,8)",19179,***,42 ,30.8, 56.2,10,stable,0.8 ,-1.2, 2.7
"Coshocton County, Ohio(6,10)",39031,***,41.7 ,30.9, 55.5,11,stable,24.4 ,-7.6, 67.5
"York County, Nebraska(6,10)",31185,***,41.7 ,23.4, 68.8,4,stable,-15.0 ,-44.5, 30.3
"Crawford County, Indiana(6,10)",18025,***,41.6 ,23.3, 70.5,3,*,*,*,*
"Union County, South Dakota(6,10)",46127,***,41.5 ,24.3, 66.8,4,stable,28.8 ,-8.4, 81.0
"Susquehanna County, Pennsylvania(6,10)",42115,***,41.4 ,30.7, 54.9,12,stable,10.0 ,-11.5, 36.7
"Grant County, Wisconsin(6,10)",55043,***,41.2 ,31.4, 53.4,13,stable,9.9 ,-18.4, 48.0
"Morgan County, West Virginia(6,10)",54065,***,41.2 ,26.2, 62.8,5,stable,6.1 ,-6.0, 19.8
"Crockett County, Tennessee(6,10)",47033,***,41.1 ,23.8, 66.4,4,stable,-1.3 ,-42.5, 69.5
"Scotts Bluff County, Nebraska(6,10)",31157,***,41.1 ,29.7, 55.5,10,stable,-11.7 ,-28.7, 9.3
"Rutland County, Vermont(6,10)",50021,***,41.1 ,32.6, 51.4,19,stable,-2.2 ,-23.2, 24.6
"Shiawassee County, Michigan(6,10)",26155,***,40.5 #  ,32.6, 50,19,stable,-5.9 ,-20.3, 11.2
"Pamlico County, North Carolina(6,10)",37137,***,40.5 ,22.8, 68.3,4,stable,9.4 ,-56.2, 173.5
"Fannin County, Georgia(7,8)",13111,***,40.4 ,27.5, 58.2,8,stable,3.2 ,-2.0, 8.8
"Barnes County, North Dakota(6,10)",38003,***,40.3 ,21.9, 69.3,3,*,*,*,*
"Green Lake County, Wisconsin(6,10)",55047,***,40.1 ,24, 63,5,stable,-4.7 ,-39.5, 50.3
"Harlan County, Kentucky(7,8)",21095,***,40.1 ,27.9, 56,8,stable,0.9 ,-4.0, 6.0
"Schoharie County, New York(6,10)",36095,***,40 ,29.5, 53.7,10,stable,-7.4 ,-27.0, 17.5
"Iron County, Utah(7)",49021,***,40 ,28.5, 54.4,8,*,*,*,*
"Floyd County, Kentucky(7,8)",21071,***,39.9 ,29.4, 53.3,10,stable,15.6 ,-1.4, 35.6
"Breathitt County, Kentucky(7,8)",21025,***,39.9 ,23.2, 65,4,stable,2.7 ,-2.3, 8.0
"Edgar County, Illinois(6,10)",17045,***,39.9 ,25, 61.1,5,stable,-0.1 ,-36.2, 56.5
"Dent County, Missouri(6,10)",29065,***,39.8 ,23, 64.6,4,stable,5.6 ,-47.6, 112.6
"Washington County, Nebraska(6,10)",31177,***,39.8 ,26.2, 58.8,6,stable,-16.7 ,-51.8, 44.1
"Lewis County, Kentucky(7)",21135,***,39.6 ,23.2, 64.3,4,*,*,*,*
"Franklin County, Massachusetts(6,10)",25011,***,39.4 ,31.8, 48.4,21,stable,-7.3 ,-18.9, 5.9
"Muskingum County, Ohio(6,10)",39119,***,39.4 ,32.1, 47.8,22,stable,5.3 ,-28.7, 55.4
"Hampshire County, Massachusetts(6,10)",25015,***,39.2 ,33.7, 45.4,40,stable,1.8 ,-21.8, 32.7
"Green County, Wisconsin(6,10)",55045,***,39.2 ,28.6, 52.8,10,stable,15.0 ,-21.0, 67.3
"Trempealeau County, Wisconsin(6,10)",55121,***,39.2 ,27.2, 55,7,stable,-3.3 ,-33.1, 39.8
